Designator,Mid X,Mid Y,Layer,Rotation
C1,30.500000mm,99.000000mm,Top,0.000000
C4,27.500000mm,30.500000mm,Top,90.000000
C5,7.800000mm,32.000000mm,Top,90.000000
C6,15.500000mm,32.000000mm,Top,90.000000
C7,25.500000mm,37.500000mm,Top,90.000000
C8,6.000000mm,22.500000mm,Top,90.000000
C9,7.500000mm,27.000000mm,Top,90.000000
C10,15.000000mm,22.500000mm,Top,90.000000
C11,15.000000mm,27.000000mm,Top,90.000000
C12,8.500000mm,61.500000mm,Top,90.000000
C13,11.500000mm,61.500000mm,Top,90.000000
C14,41.000000mm,42.000000mm,Top,90.000000
C15,40.800000mm,75.000000mm,Top,90.000000
C16,35.000000mm,31.000000mm,Top,90.000000
C17,38.000000mm,31.500000mm,Top,90.000000
C18,42.000000mm,31.500000mm,Top,90.000000
C19,19.000000mm,24.000000mm,Top,90.000000
C20,20.000000mm,29.000000mm,Top,0.000000
C26,13.500000mm,65.500000mm,Top,90.000000
C27,29.000000mm,21.500000mm,Top,90.000000
C28,32.000000mm,21.500000mm,Top,90.000000
C29,35.000000mm,21.500000mm,Top,90.000000
C30,31.000000mm,57.000000mm,Top,90.000000
D1,41.000000mm,63.500000mm,Top,0.000000
D2,15.000000mm,94.000000mm,Top,0.000000
D3,2.000000mm,88.000000mm,Top,0.000000
F1,40.000000mm,67.000000mm,Top,0.000000
J1,22.500000mm,95.850000mm,Top,0.000000
L1,10.500000mm,28.500000mm,Top,180.000000
MK1,36.500000mm,74.500000mm,Top,0.000000
Q1,29.000000mm,61.500000mm,Top,0.000000
Q2,33.000000mm,61.500000mm,Top,0.000000
Q3,23.000000mm,36.500000mm,Top,90.000000
Q4,41.000000mm,59.500000mm,Top,90.000000
R1,29.500000mm,89.500000mm,Top,90.000000
R2,29.500000mm,92.500000mm,Top,90.000000
R3,31.000000mm,50.000000mm,Top,90.000000
R4,31.000000mm,53.500000mm,Top,90.000000
R5,14.500000mm,61.500000mm,Top,90.000000
R6,17.500000mm,61.500000mm,Top,90.000000
R7,18.500000mm,32.000000mm,Top,90.000000
R8,27.000000mm,34.000000mm,Top,90.000000
R9,30.000000mm,34.000000mm,Top,90.000000
R10,36.500000mm,59.500000mm,Top,0.000000
R13,35.000000mm,42.000000mm,Top,90.000000
R14,38.000000mm,42.000000mm,Top,90.000000
R15,29.000000mm,68.000000mm,Top,90.000000
R16,33.000000mm,68.000000mm,Top,90.000000
R19,36.000000mm,35.000000mm,Top,90.000000
R20,39.000000mm,35.000000mm,Top,90.000000
R21,6.000000mm,14.000000mm,Top,90.000000
R22,29.000000mm,65.000000mm,Top,90.000000
R23,33.000000mm,65.000000mm,Top,90.000000
R24,12.000000mm,94.000000mm,Top,0.000000
R25,12.000000mm,97.000000mm,Top,0.000000
U1,30.500000mm,96.000000mm,Top,0.000000
U2,39.000000mm,52.000000mm,Top,90.000000
U3,11.500000mm,35.000000mm,Top,90.000000
U4,18.000000mm,36.500000mm,Top,90.000000
U5,10.500000mm,25.000000mm,Top,0.000000
U6,16.000000mm,49.500000mm,Top,180.000000
U7,40.000000mm,27.500000mm,Top,0.000000
U8,28.500000mm,10.000000mm,Top,0.000000
